label,review,reviewdate
5,This course helped me strengthen my negotiation skills.Mostly by using an structural process in planning a negotiation strategy.I highly recommend this course specially if you are in a Sourcing or Sales area.,12/7/2023
5,"Interesting introduction to negotiation techniques and strategies.Very pedagogical videos, congrats to Prof. Siedel.I totally recommend this course to people feeling curious about negotiation!",14/7/2023
4,I think this course is helpful and we can learn a lot from it.,16/7/2023
5,One of the best course I have ever taken. It will help me immensely in my real estate investment deals going forward.,18/7/2023
5,"Great course! Everything is perfectly structured, and thanks to George, its easy enough to assimilate. We use some tools described in the course in negotiations without thinking about the theoretical foundations. The course provides an understanding of these fundamentals and useful tools for negotiating. Thank you, George!",20/7/2023
4,must take course to understand negotiation skills techniques and step by step introduction to negotiation.,22/7/2023
5,"This course was amazing! I enjoyed a great deal the class pace, content, examples, illustrations, and readings. It is my first on-line class in Coursera and I am really happy I started with this class because now I am totally addicted. I want to thank George Siedel and the staff that helped him create this on-line content. Well done!",24/7/2023
5,The Best!!!!!,26/7/2023
4,Very Nice issue,28/7/2023
5,"This course helped me to improve my negotiation skills, I am more confident to handle negociations after this class.",30/7/2023
5,"Well explained, right to the point, good examples and fun anecdotes! Nice course!",1/8/2023
5,Very practical,3/8/2023
5,"As a Federal Government executive who deals with administrative and civil cases and also an attorney, I found this class extremely helpful. I hope UM offers more related classes from both their prestigious business schools and law schools.",5/8/2023
5,"Hello SIrThanks for being here helping most of us that can not travel over there to follow this importantand powerful course. Thanks to platforme Coursera owner who give me this opportunity.It is one of most difficult course I never foolow, this is why I am so proud to have successful finish itNow I am moving toward to practice.",7/8/2023
5,"Excellent Course for anyone who wants a clearer understanding of Negotiations - great examples used, lecturer is easily understood, and the topics covered are very interesting.",9/8/2023
5,Could not recommend more for beginners,11/8/2023
4,Definitely a great program. Great way to up skill yourself!!! Thanks to coursera and UM.,13/8/2023
5,"I learned a lot of techniques that I can use not only in business/ work-related negotiations but also to my personal day-to-day transactions. Thank you very much, Prof. George Siedel!",15/8/2023
5,"One of the best real life course, that has a lot of practical and technical knowledge which most negotiators think they have but really do not know or understand it. It puts our thought process in a scientific way to negotiate with people and to understand how the other person will think and try to trap you. There is a lot of practical examples which helps you to change your way of negotiation. I am glad I took this course and will implement these techniques, in my daily life.",17/8/2023
4,it was great experience being a part of this course,19/8/2023
5,"Great tutor, I truly enjoyed the course!",21/8/2023
5,this course looks motivation contract mission,23/8/2023
5,"This was the best course I have taken so far. Very informative, the right balance between theory and (lots of) practice, prof. Siedel is a real expert and a great teacher. As a psychologist with no background in law or economy, I struggled at times with course material. This however made me even more motivated to go through lectures once more and I was able to understand everything even better than after the first try. Elm Street exercise and the debrief afterwards were the best! Thank you Coursera for this course! Greetings from Zagreb, Croatia! :)",25/8/2023
5,Very professional the material submitted. Many practical examples. Thank you!,27/8/2023
5,"Great course , great experience.",29/8/2023
5,"Great Course, Full of insight",31/8/2023
5,Probably the best course videos Ive come across. Professor George I believe is an amazing teacher...the way he gets the concept across to students by simple and constant examples is worth mentioning..,2/9/2023
5,It is good and very important course,4/9/2023
5,Incredible....,6/9/2023
5,Great course. Loved the information and the practice negotiation. I learned a ton and now want to find ways to use and hone my negotiation skills! Recommend to all.,8/9/2023
5,Challenging and very informative,10/9/2023
5,"Captured interest like a movie! Professor exactly knows how to impart skills to people of different backgrounds, all over the world.",12/9/2023
5,"There are a lot of useful theories and strategies in practice, which is very helpful.",14/9/2023
5,Great Course content and well delivered! Well done Prof. George Siedel. 5 stars!-PresidentBryan!,16/9/2023
5,Very good and instructive!,18/9/2023
5,"Great course, I advise everyone who has a profession or vocation to engage in business conversations with people!",20/9/2023
5,"Very didactic course, with a lot of tools to evolve ourselfs as negotiators and professionals. I do recommend.",22/9/2023
5,This course is absolutely fantastic! I am really appreciate that I could join and finish this class.I can recommend to everybody who want to be a successful negotiator!,24/9/2023
5,It is a good course,26/9/2023
5,Great Course,28/9/2023
5,It is a great course to learn the essential negotiation skills. Professor Siedel explains the concepts elaborately using relevant examples and information.,30/9/2023
5,Very important practical course for people from all walks of life. After all we all negotiate on a regular basis. I greatly enjoyed this course. Dr. Siedels delivery of the material is very clear and engaging. Thank you Dr. Siedel for preparing this course.,2/10/2023
5,"It is very useful, simple and Professional.",4/10/2023
5,"Great course, very good negotiation material.",6/10/2023
5,"I enjoy this course, I recommended to anyone who wishes to improve or learn the art of selling! I would change the peer grading because you have to wait until someone grade your work. It would be better if the work is graded by the mentor in my opinion.",8/10/2023
5,Learned quite a lot of best practices on how to do negotation,10/10/2023
5,Professor George is really impressive. He has worked with quite big names in this field and this course is like learning from the best person available. It is a good choice of course.His teaching methods are engaging. I am very busy person but I would ask no matter how much busy you are you have to look into this course if you are doing negotiation.,12/10/2023
5,Great course!,14/10/2023
5,"I recommend this course. It gave me such great insight about negotiations, and the tools for dealing with every situation are indeed very helpful.",16/10/2023
5,Excellent course. It was presented with such clarity by Professor Siedel. His extensive knowledge on the subject matter just jumps out at you. I am happy I did it. Will keep many of the checklists discussed in my pocket for future reference.,18/10/2023
3,Good basic overview. Not groundbreaking content or presentation compared to courses featuring Steve Blank or leaders from Google.,20/10/2023
5,Very good class! Empowering.,22/10/2023
5,Very interesting subject with an excelent teacher .,24/10/2023
4,"Would like more exercises to test knowledge throughout the course, not just one large exam at the end. Would prefer less choices on final exam questions to better demonstrate ones knowledge of material, not test-taking skills.Professor Siedel is a wonderful professor with many years of both theoretical and practical knowledge. His real-world examples allow students to apply course materials beyond academia to the business world and life in general.",26/10/2023
5,"Great information on how to improve negotiation skills, as well as some valuable strategies. Presented in a professional and light-hearted manner. The recommended book isnt necessary, as the material is gone over in the lectures, but is still handy.",28/10/2023
